,name,username,current_classic,current_blitz,current_rapid
0,Magnus Carlsen,magnuscarlsen,,3252.0,2906
1,Fabiano Caruana,fabianocaruana,,3114.0,2823
2,Hikaru Nakamura,hikaru,2239.0,3305.0,2769
3,Arjun Erigaisi,ghandeevam2003,1187.0,3084.0,2719
4,Gukesh Dommaraju,gukeshdommaraju,,3023.0,2729
5,Nodirbek Abdusattorov,chesswarrior7197,1439.0,3139.0,2759
6,Alireza Firouzja,firouzja2003,,3164.0,2870
7,Ian Nepomniachtchi,lachesisq,1008.0,3148.0,2827
8,Wei Yi,wei-yi,,,1457
9,Viswanathan Anand,thevish,,2620.0,2731
