name,fide_number,chess_com_username,country,current_classic,current_blitz,current_rapid
Magnus_Carlsen,1503014,magnuscarlsen,NO,,3221.0,2906
Fabiano_Caruana,2020009,fabianocaruana,US,,3114.0,2823
Hikaru_Nakamura,2016192,hikaru,US,2239.0,3293.0,2769
Arjun_Erigaisi,35009192,ghandeevam2003,IN,1187.0,3084.0,2719
Gukesh_Dommaraju,46616543,gukeshdommaraju,IN,,3023.0,2729
Nodirbek_Abdusattorov,14204118,chesswarrior7197,UZ,1439.0,3139.0,2759
Alireza_Firouzja,12573981,firouzja2003,FR,,3187.0,2870
Ian_Nepomniachtchi,4168119,lachesisq,RU,1008.0,3122.0,2827
Yi_Wei,8603405,wei-yi,CN,,,1457
Viswanathan_Anand,5000017,thevish,IN,,2620.0,2731
