,country,date,search_rate
0,NO,Jan 2004,22
1,NO,Feb 2004,19
2,NO,Mar 2004,28
3,NO,Apr 2004,28
4,NO,May 2004,27
5,NO,Jun 2004,23
6,NO,Jul 2004,28
7,NO,Aug 2004,21
8,NO,Sep 2004,24
9,NO,Oct 2004,17
10,NO,Nov 2004,19
11,NO,Dec 2004,22
12,NO,Jan 2005,17
13,NO,Feb 2005,19
14,NO,Mar 2005,21
15,NO,Apr 2005,14
16,NO,May 2005,18
17,NO,Jun 2005,22
18,NO,Jul 2005,26
19,NO,Aug 2005,19
20,NO,Sep 2005,20
21,NO,Oct 2005,14
22,NO,Nov 2005,18
23,NO,Dec 2005,32
24,NO,Jan 2006,22
25,NO,Feb 2006,24
26,NO,Mar 2006,20
27,NO,Apr 2006,22
28,NO,May 2006,20
29,NO,Jun 2006,20
30,NO,Jul 2006,27
31,NO,Aug 2006,22
32,NO,Sep 2006,19
33,NO,Oct 2006,19
34,NO,Nov 2006,21
35,NO,Dec 2006,22
36,NO,Jan 2007,20
37,NO,Feb 2007,21
38,NO,Mar 2007,20
39,NO,Apr 2007,17
40,NO,May 2007,20
41,NO,Jun 2007,25
42,NO,Jul 2007,25
43,NO,Aug 2007,18
44,NO,Sep 2007,21
45,NO,Oct 2007,21
46,NO,Nov 2007,17
47,NO,Dec 2007,23
48,NO,Jan 2008,21
49,NO,Feb 2008,21
50,NO,Mar 2008,18
51,NO,Apr 2008,17
52,NO,May 2008,17
53,NO,Jun 2008,21
54,NO,Jul 2008,24
55,NO,Aug 2008,22
56,NO,Sep 2008,20
57,NO,Oct 2008,17
58,NO,Nov 2008,18
59,NO,Dec 2008,19
60,NO,Jan 2009,19
61,NO,Feb 2009,21
62,NO,Mar 2009,17
63,NO,Apr 2009,16
64,NO,May 2009,16
65,NO,Jun 2009,17
66,NO,Jul 2009,21
67,NO,Aug 2009,17
68,NO,Sep 2009,18
69,NO,Oct 2009,21
70,NO,Nov 2009,20
71,NO,Dec 2009,20
72,NO,Jan 2010,18
73,NO,Feb 2010,15
74,NO,Mar 2010,15
75,NO,Apr 2010,15
76,NO,May 2010,16
77,NO,Jun 2010,18
78,NO,Jul 2010,21
79,NO,Aug 2010,19
80,NO,Sep 2010,17
81,NO,Oct 2010,20
82,NO,Nov 2010,17
83,NO,Dec 2010,19
84,NO,Jan 2011,23
85,NO,Feb 2011,18
86,NO,Mar 2011,19
87,NO,Apr 2011,17
88,NO,May 2011,18
89,NO,Jun 2011,18
90,NO,Jul 2011,19
91,NO,Aug 2011,16
92,NO,Sep 2011,19
93,NO,Oct 2011,20
94,NO,Nov 2011,20
95,NO,Dec 2011,23
96,NO,Jan 2012,24
97,NO,Feb 2012,20
98,NO,Mar 2012,18
99,NO,Apr 2012,21
100,NO,May 2012,21
101,NO,Jun 2012,23
102,NO,Jul 2012,26
103,NO,Aug 2012,23
104,NO,Sep 2012,21
105,NO,Oct 2012,21
106,NO,Nov 2012,21
107,NO,Dec 2012,32
108,NO,Jan 2013,25
109,NO,Feb 2013,21
110,NO,Mar 2013,29
111,NO,Apr 2013,24
112,NO,May 2013,28
113,NO,Jun 2013,23
114,NO,Jul 2013,26
115,NO,Aug 2013,23
116,NO,Sep 2013,23
117,NO,Oct 2013,23
118,NO,Nov 2013,100
119,NO,Dec 2013,36
120,NO,Jan 2014,31
121,NO,Feb 2014,33
122,NO,Mar 2014,25
123,NO,Apr 2014,28
124,NO,May 2014,24
125,NO,Jun 2014,37
126,NO,Jul 2014,27
127,NO,Aug 2014,34
128,NO,Sep 2014,25
129,NO,Oct 2014,21
130,NO,Nov 2014,44
131,NO,Dec 2014,27
132,NO,Jan 2015,33
133,NO,Feb 2015,31
134,NO,Mar 2015,20
135,NO,Apr 2015,26
136,NO,May 2015,20
137,NO,Jun 2015,30
138,NO,Jul 2015,28
139,NO,Aug 2015,25
140,NO,Sep 2015,23
141,NO,Oct 2015,27
142,NO,Nov 2015,21
143,NO,Dec 2015,29
144,NO,Jan 2016,22
145,NO,Feb 2016,20
146,NO,Mar 2016,23
147,NO,Apr 2016,25
148,NO,May 2016,17
149,NO,Jun 2016,19
150,NO,Jul 2016,22
151,NO,Aug 2016,18
152,NO,Sep 2016,19
153,NO,Oct 2016,17
154,NO,Nov 2016,46
155,NO,Dec 2016,37
156,NO,Jan 2017,24
157,NO,Feb 2017,19
158,NO,Mar 2017,18
159,NO,Apr 2017,17
160,NO,May 2017,16
161,NO,Jun 2017,27
162,NO,Jul 2017,18
163,NO,Aug 2017,15
164,NO,Sep 2017,17
165,NO,Oct 2017,16
166,NO,Nov 2017,15
167,NO,Dec 2017,25
168,NO,Jan 2018,21
169,NO,Feb 2018,17
170,NO,Mar 2018,15
171,NO,Apr 2018,15
172,NO,May 2018,15
173,NO,Jun 2018,15
174,NO,Jul 2018,10
175,NO,Aug 2018,9
176,NO,Sep 2018,8
177,NO,Oct 2018,8
178,NO,Nov 2018,32
179,NO,Dec 2018,23
180,NO,Jan 2019,22
181,NO,Feb 2019,11
182,NO,Mar 2019,9
183,NO,Apr 2019,16
184,NO,May 2019,11
185,NO,Jun 2019,24
186,NO,Jul 2019,11
187,NO,Aug 2019,8
188,NO,Sep 2019,6
189,NO,Oct 2019,11
190,NO,Nov 2019,12
191,NO,Dec 2019,19
192,NO,Jan 2020,18
193,NO,Feb 2020,14
194,NO,Mar 2020,9
195,NO,Apr 2020,7
196,NO,May 2020,9
197,NO,Jun 2020,10
198,NO,Jul 2020,10
199,NO,Aug 2020,10
200,NO,Sep 2020,7
201,NO,Oct 2020,14
202,NO,Nov 2020,14
203,NO,Dec 2020,16
204,NO,Jan 2021,17
205,NO,Feb 2021,14
206,NO,Mar 2021,11
207,NO,Apr 2021,10
208,NO,May 2021,9
209,NO,Jun 2021,7
210,NO,Jul 2021,8
211,NO,Aug 2021,7
212,NO,Sep 2021,12
213,NO,Oct 2021,8
214,NO,Nov 2021,10
215,NO,Dec 2021,29
216,NO,Jan 2022,17
217,NO,Feb 2022,11
218,NO,Mar 2022,9
219,NO,Apr 2022,9
220,NO,May 2022,8
221,NO,Jun 2022,11
222,NO,Jul 2022,10
223,NO,Aug 2022,11
224,NO,Sep 2022,14
225,NO,Oct 2022,16
226,NO,Nov 2022,13
227,NO,Dec 2022,22
228,NO,Jan 2023,39
229,NO,Feb 2023,28
230,NO,Mar 2023,18
231,NO,Apr 2023,18
232,NO,May 2023,14
233,NO,Jun 2023,12
234,NO,Jul 2023,10
235,NO,Aug 2023,12
236,NO,Sep 2023,12
237,NO,Oct 2023,11
238,NO,Nov 2023,10
239,NO,Dec 2023,20
240,NO,Jan 2024,13
241,NO,Feb 2024,13
242,NO,Mar 2024,11
243,NO,Apr 2024,11
244,NO,May 2024,12
245,NO,Jun 2024,12
246,NO,Jul 2024,9
247,NO,Aug 2024,8
248,NO,Sep 2024,12
249,NO,Oct 2024,9
250,NO,Nov 2024,10
251,NO,Dec 2024,14
252,US,Jan 2004,75
253,US,Feb 2004,62
254,US,Mar 2004,60
255,US,Apr 2004,53
256,US,May 2004,55
257,US,Jun 2004,51
258,US,Jul 2004,63
259,US,Aug 2004,50
260,US,Sep 2004,50
261,US,Oct 2004,53
262,US,Nov 2004,64
263,US,Dec 2004,74
264,US,Jan 2005,58
265,US,Feb 2005,54
266,US,Mar 2005,56
267,US,Apr 2005,52
268,US,May 2005,52
269,US,Jun 2005,47
270,US,Jul 2005,43
271,US,Aug 2005,45
272,US,Sep 2005,41
273,US,Oct 2005,49
274,US,Nov 2005,55
275,US,Dec 2005,66
276,US,Jan 2006,50
277,US,Feb 2006,48
278,US,Mar 2006,48
279,US,Apr 2006,44
280,US,May 2006,44
281,US,Jun 2006,41
282,US,Jul 2006,44
283,US,Aug 2006,43
284,US,Sep 2006,42
285,US,Oct 2006,50
286,US,Nov 2006,51
287,US,Dec 2006,57
288,US,Jan 2007,47
289,US,Feb 2007,44
290,US,Mar 2007,50
291,US,Apr 2007,44
292,US,May 2007,44
293,US,Jun 2007,43
294,US,Jul 2007,41
295,US,Aug 2007,36
296,US,Sep 2007,40
297,US,Oct 2007,41
298,US,Nov 2007,48
299,US,Dec 2007,53
300,US,Jan 2008,49
301,US,Feb 2008,45
302,US,Mar 2008,46
303,US,Apr 2008,40
304,US,May 2008,41
305,US,Jun 2008,38
306,US,Jul 2008,38
307,US,Aug 2008,36
308,US,Sep 2008,37
309,US,Oct 2008,40
310,US,Nov 2008,46
311,US,Dec 2008,51
312,US,Jan 2009,42
313,US,Feb 2009,42
314,US,Mar 2009,40
315,US,Apr 2009,38
316,US,May 2009,37
317,US,Jun 2009,38
318,US,Jul 2009,35
319,US,Aug 2009,33
320,US,Sep 2009,34
321,US,Oct 2009,36
322,US,Nov 2009,41
323,US,Dec 2009,44
324,US,Jan 2010,40
325,US,Feb 2010,37
326,US,Mar 2010,34
327,US,Apr 2010,33
328,US,May 2010,36
329,US,Jun 2010,32
330,US,Jul 2010,32
331,US,Aug 2010,31
332,US,Sep 2010,31
333,US,Oct 2010,32
334,US,Nov 2010,35
335,US,Dec 2010,36
336,US,Jan 2011,34
337,US,Feb 2011,34
338,US,Mar 2011,33
339,US,Apr 2011,30
340,US,May 2011,32
341,US,Jun 2011,33
342,US,Jul 2011,33
343,US,Aug 2011,30
344,US,Sep 2011,31
345,US,Oct 2011,31
346,US,Nov 2011,34
347,US,Dec 2011,37
348,US,Jan 2012,33
349,US,Feb 2012,32
350,US,Mar 2012,31
351,US,Apr 2012,30
352,US,May 2012,29
353,US,Jun 2012,28
354,US,Jul 2012,28
355,US,Aug 2012,26
356,US,Sep 2012,28
357,US,Oct 2012,26
358,US,Nov 2012,30
359,US,Dec 2012,33
360,US,Jan 2013,30
361,US,Feb 2013,28
362,US,Mar 2013,28
363,US,Apr 2013,26
364,US,May 2013,28
